,Title,"Q:Which day, month and year did the crime happen?",Q:what time of the day did the crime happen?,"Q:Did the crime happen in the morning, afternoon,  evening or night?","Q:Did the crime happend on a weekday, weekend or holidays?",Q:What type of crime?,Q:What is the type of the crime?,Q:Is the crime violent or non-violent?,Q:Use 5 key words to describe this crime.,"Q:Map the crime to the crime type: theft, homicide, sex abuse, robbery, burglary",Q:In what location did the crime happend?,Q:Give me the accurate location of the crime.,Q:Did the crime happen in a public or private place?,Q:Did the crime happen in a residential or commercial area?,Q:Did the crime happen indoors or outdoors?
121,Watchdog identifies evidence of misconduct,2 December 2023,a.,evening,weekday,misconduct,sexual harassment,non-violent,"Joel Beidleman, former principal of Far",sex abuse,Farquhar Middle School,Farquhar Middle School,public,Montgomery County,indoors
122,Man who posed as officer to befriend agents is sentenced,2 December 2023,Friday,evening,Friday,fraud,impersonation,non-violent,Arian Taherzadeh pleaded,sex abuse,Washington,Washington,private,residential,indoors
123,Traffic deaths rising in D.C.,"With just days left in the year, D.",About half of the fatal crashes occurred overnight,About half of the fatal crashes occurred overnight,About half of the fatal crashes occurred overnight,Traffic,Traffic fatalities,violent,The number of traffic fatalities in the nation',The number of traffic fatalities in the nation',Rock Creek Parkway,D.C.,public,residential,outdoors
124,Local Digest,Dec. 27,early,night,Christmas Eve,shooting,shooting,fatal,A man was found fatally shot early Tuesday outside,homicide,the 5100 block of Deal Drive in the Ox,the 5100 block of Deal Drive,private,residential,Inside an apartment building
125,"Girl, 16, pleads guilty to fatal stabbing in dispute over McDonald's sauce","Aug. 27,",2 a.m.,night,about 2 a.m. on Aug.,first-degree murder,voluntary manslaughter,violent,A 16-year-old girl pleaded,homicide,14th and U streets area of Northwest Washington,14th and U streets area of Northwest Washington,outside a McDonald's restaurant,commercial,outside
126,4 charged in killings amid D.C. crime spike,June 28,after 10 p.m,evening,weekend,violent,homicide,violent,"Bobby Lewis Gupton, 25, charged with first-",homicide,Northeast Washington,Northeast Washington,residential neighborhood,residential neighborhood,inside
127,Roommates sue police officers who shot pet dog,June 2021,late that night,evening,weekday,dog,unlawful search and seizure,non-violent,The Prince George's County Police Department and three,burglary,Landover Hills apartment complex,Landover Hills apartment complex,private,residential,indoors
128,Man charged in fatal Metro shooting is likely to plead insanity at trial,Feb. 1,morning,morning,at the end of the morning rush hour,shooting,shooting,violent,"Isaiah Trotman, 32, appeared in",homicide,Potomac Avenue Metro station,Potomac Avenue Metro station,public,Metro,underground
129,Police settle liquor inquiry,18 December 2023,18 December 2023,evening,weekday,illegally brought alcohol into the District of Columbia without,selling and shipping hundreds of bottles of Jack Daniel',non-violent,Fraternal police lodge in D.C.,A fraternal police lodge in D.C,D.C.,D.C.,Fraternal police lodge,commercial,indoors
130,Local Digest,18 December 2023,Saturday night,morning,Saturday,homicides,hit-and-run,violent,Police in Montgomery County are searching for a suspected,robbery,Rockville,Northeast Washington,public,downtown Rockville,outdoors
131,"With 264 killings, D.C. hits grim toll",20 December 2023,about 11:45 a.m.,afternoon,Monday,homicide,homicide,violent,264 people have been slain.,homicide,Northwest street lined with grassy front lawns,Northwest street lined with grassy front lawns,private,residential,inside
132,Statue removal is back on track,20 December 2023,evening,evening,weekday,slavery,graves were being disturbed,non-violent,A federal judge in Virginia on Tuesday said he,sex abuse,Arlington National Cemetery,Arlington National Cemetery,Arlington National Cemetery,Cemetery,Arlington National Cemetery
133,Girl involved in fatal crash of carjacked vehicles pleads guilty in five robberies,Oct. 26,shortly before 2 a.m,night,Tuesday,carjacking,carjacking,violent,A 15-year-old girl who authorities say,robbery,Brentwood Road and Bryant Street NE,Brentwood Road and Bryant Street NE,street,street,outdoors
134,Cruz accuses MWAA of plan to 'extort' fees over any new flights at National,20 December 2023,late,evening,Monday,extortion,extortion,non-violent,"Sen. Ted Cruz (Tex.), the top",robbery,Reagan National Airport,Reagan National Airport,public,commercial,indoors
135,Local Digest,Sunday,Sunday morning,Sunday morning,Sunday,stabbing,an inmate-on-inmate assault,violent,"3 inmates wounded in jail stabbing, police",robbery,D.C.,D.C.,jail,residential,indoors
136,"Man visiting his old neighborhood dies after being shot in car, police say",Friday,Around 11 p.m.,night,Friday,shootings,assaulting police,violent,Aminah Saladin didn't want ,homicide,Stanton Road Southeast,Stanton Road Southeast,public,neighborhood,outdoors
137,Local Digest,Friday,evening,evening,Friday,shooting,shooting,violent,A man was fatally shot Friday evening in Northeast,robbery,"Northeast Washington, D.C.","Northeast Washington, D.C.",outside,Northeast,outside
138,"Mental health counselor charged with stealing over $263,000 from Medicaid",15 December 2023,Thursday,afternoon,Wednesday,felony fraud,felony fraud,non-violent,Bridgette White-Chase,theft,District,District,public,residential,indoors
139,Crime lab can operate again,2015,a.m.,night,weekday,homicide,homicide,homicide,D.C.'s long-trou,homicide,D.C.,D.C.,D.C.,residential,indoors
140,Suspect arrested in fatal shooting of D.C. staffer,Oct. 16,afternoon,afternoon,Wednesday,homicide,homicide,violent,A 28-year-old man was arrested Wednesday,homicide,Starburst Plaza,the 1500 block of Maryland Avenue NE,private,commercial,outside
141,"D.C. police offer free AirTags, Tile devices to fight carjackings",7 December 2023,night,night,Tuesday night,carjackings,carjackings,violent,D.C. officials have been confronting ,theft,RFK Stadium,D.C.,private,residential,outdoor
142,Arrest is made in FBI agent carjacking,Nov. 29,midafternoon,afternoon,weekday,carjacking,carjacking,violent,A 17-year-old suspect was arrested Monday,robbery,D.C.,D.C.,residential,residential,outdoor
143,Charge dropped against man seen being beaten by on-duty D.C. firefighters,Tuesday,11:30 p.m,evening,Tuesday,assault,assault,violent,A man who can be seen in widely circulated,assault,the unit block of Florida Avenue NW,Florida Avenue NW,public,D.C.,outdoors
144,"5 firefighters sue city, alleging sour pension deal",2 June 2023,24 hours a day,night,Thursday,mugging,mugging,violent,A group of D.C. firefighters who want,robbery,D.C.,D.C.,public,residential,indoors
145,2 firefighters charged over brawl caught on video,April 25,11:30 p.m,evening,on-duty,assault,assault,violent,Two D.C. firefighters have been charged with,assault,Florida Avenue NW,Florida Avenue NW,public,residential,pavement
146,Firefighter dies battling Leonardtown home blaze,28 June 2023,early,morning,Tuesday,a blaze,died in the line of duty,non-violent,A firefighter died early Tuesday after he,robbery,Leonardtown,Leonardtown,home,residential,indoors
147,Scant details of District Dogs 911 calls,Monday,5:06 p.m.,afternoon,Monday,flooding,flooding,non-violent,D.C. officials released limited new details Thursday,D.C. officials released limited new details Thursday,doggy day care,The 600 block of Rhode Island Avenue NE,day care,commercial,indoors
148,"When this teen heard a cry for help, he and his mentors sprang into action",September 26,afternoon,afternoon,day,shoplifter,shoplifter,non-violent,Kentre Valentine heard a woman screaming for help,robbery,Southeast Washington,1600 block of 17th St. SE,private,residential,indoors
149,911 communications termed flood that killed dogs a 'leak',last week,5:06 p.m.,afternoon,weekday,a flash flood,a flash flood,non-violent,A flash flood poured into the District Dogs,robbery,Northeast Washington,Northeast Washington,private,commercial,indoors
150,Mental health troubles put strain on D.C.'s supportive housing,"October,",FINAL C01,night,weekday,Drug-related or violent criminal activity,One man was caught on video starting a fire,violent,One man was caught on video starting a fire,One man was caught on video starting a fire,Northwest Washington,D.C.'s permanent supportive housing program,private,residential,indoors
151,Police make arrest in 2009 killing of man featured in noted documentary,2009,New Year's Eve,evening,New Year's Eve,murder,murder,violent,"Emmanuel Durant Jr., a 19",homicide,D.C.,200 block of Webster Street NE,private,residential,inside
152,Local Digest,14 July 2023,about 10:40 p.m,morning,Thursday,shooting,shooting,violent,"Shooting, robbery, hom",robbery,Silver Spring,Silver Spring,private,neighborhood,outside
153,An arrest 44 years in the making,"Aug. 27, 1979",evening,evening,summer evening,homicide,homicide,She had been raped and shot,"Vickie Lynn Belk, 28, was abducted",homicide,Stadium-Armory Metro station,Stadium-Armory Metro station in Southeast Washington,public,rural,outside
154,Mental evaluation ordered for man charged in stabbing of Senate staffer,March 25,just after 5 p.m,afternoon,day,assault with intent to kill,assault with intent to kill,violent,A D.C. Superior Court judge Thursday ordered,homicide,Northeast Washington,H Street corridor in Northeast Washington,public,commercial,outdoors
155,"U.S. to appeal sentences for Rhodes, Oath Keepers",Jan. 6,late,night,Jan. 6,terrorism,seditious conspiracy,attack on the U.S. Capitol,Prosecutors will appeal the sentences of,seditious conspiracy,"Washington, D.C.","Washington, D.C.",public,Capitol,attack on the U.S. Capitol
156,Issue with cuffs led to escape at hospital,August,morning,morning,Wednesday,murder,murder,violent,A murder suspect escaped from George Washington University Hospital,homicide,George Washington University Hospital,George Washington University Hospital,hospital,residential,indoors
157,Prosecutor says killing at hotel was random,"March 31,",Friday,night,weekend,murder,murder,violent,George Sydnor Jr. stabbed,homicide,Northeast Washington,Northeast Washington,private,hotel,inside
158,Teen pleads guilty in fatal shooting of man in wheelchair,"Jan. 18, 2022",just before 8 p.m,evening,Friday,second-degree murder,second-degree murder,violent,A 15-year-old District youth pleade,homicide,Northeast Washington,Northeast Washington,private,residential,outside
159,"'Accountability' after crimes easy to seek, hard to define",Jan. 3,evening,evening,evening rush hour,Violent crime,Violent crime,Violent,D.C. Police Chief Robert J. Cont,homicide,Northeast Washington,Georgia Avenue,public,residential,outdoor
160,Fugitive in 2010 killing is returned to Maryland,"Oct. 25, 2010",afternoon,evening,Wednesday,murder,murder,violent,"Jorge Rueda Landeros, 53",homicide,Bethesda,Sue Marcum's home,private,residential,inside
161,Family decries fatal police shooting,"Aug. 25, 2021",night,night,weekday,fatal police shooting,second-degree murder,violent,An'Twan Gilmore was fatally shot,homicide,D.C.,D.C.,public,D.C.,outdoors
162,"Teen, 15, sentenced in shooting of Commanders player, separate killing",Aug. 28,he was shot as he left a,evening,Wednesday,shooting,shooting,violent,One of the teens who pleaded guilty in,homicide,Northeast Washington,the 1000 block of H Street NE,private,residential,outdoors
163,Local Digest,Friday,5:45 a.m.,morning,Friday,carjacker,carjacker,violent,A D.C. police sergeant heading,robbery,Northwest Washington's Takoma neighborhood,Northwest Washington's Takoma neighborhood,private,Northwest Washington's Takoma neighborhood,outdoors
164,D.C. SNAP recipients could get boosted aid,September 30,5 October 2023,evening,weekday,undocumented immigrants,undocumented immigrants,non-violent,Low-income families who rely on food assistance,Low-income families who rely on food assistance,D.C.,D.C.,public,commercial,indoors
165,Pentagon official is charged with participating in dogfighting ring,"Sept. 28,",a senior member of the Defense Department communications staff,evening,weekday,dogfighting,dogfighting,violent,A senior member of the Defense Department communications staff has,homicide,D.C. area,Anne Arundel County,private,residential,indoors
166,Local Digest,"Jan. 26, 2019",around 10 p.m.,night,Friday,murder,murder,violent,A District man was sentenced to 120 years in,homicide,Southeast Washington,Southeast Washington,private,residential,outdoors
167,Witness recounts blockade of clinic,"Oct. 22, 2020",morning,morning,morning,to block clinic access,to block clinic access,violent,The woman testified under the pseudonym,sex abuse,Northwest Washington,Northwest Washington,clinic,clinic,indoors
168,Man is extradited in killing of landscaper in NE,"Sept. 22, 2022",afternoon,afternoon,afternoon,murder,murder,violent,A man arrested eight months ago in Pennsylvania in connection,homicide,Gateway neighborhood,Adams Street NE,alley,industrial buildings and single-family homes,outdoors
169,Fatal shooting reported on bus in Montgomery,Friday,night,evening,Friday,homicide,homicide,violent,A fatal shooting occurred Friday night aboard a Metro,homicide,aboard a Metro bus,Lockwood Drive and New Hampshire Avenue,public,residential,aboard a Metro bus
170,Man who struck people while fleeing Secret Service charged with murder,Friday,late Friday afternoon,afternoon,Friday,second-degree murder,second-degree murder and aggravated assault,violent,A Maryland man has been charged with second-degree,homicide,downtown Washington,Washington,public,downtown Washington,outdoors
171,"In D.C., another deadly Independence Day",July Fourth,morning,morning,Fourth of July,homicides,homicides,violent,The Fourth of July is known among law enforcement officials,homicide,Deanwood area of Northeast Washington,the unit block of Patterson Street NE,public,residential,outdoors
172,Local Digest,6 July 2023,10:45 p.m.,night,Tuesday,theft,theft,violent,"Fireworks, discarded, Rockville, Montgomery",robbery,Southwest Washington,Rockville,private,residential,outside
173,Judge rules immigration officials violated pastor's rights,January 2019,FINAL B02,morning,January 2019,religious freedom,religious freedom,A judge ruled last week that federal agents violate,A New York pastor and immigrant rights activist,A New York pastor and immigrant rights activist,the U.S.-Mexico border,A New York pastor and immigrant rights activist,private,A New York pastor and immigrant rights activist,outdoors
174,Local Digest,1 April 2023,midday,midday,Wednesday,homicide,homicide,homicide,A man was killed in a shooting that occurred,homicide,Arlington,100 block of North Thomas Street,private,residential,indoors
175,"Man accused in crash near White House is not U.S. citizen, prosecutor says",Monday,9:40 p.m.,evening,Monday,destroying property,destroying property,violent,The man with a Nazi flag who authorities say,destroying property,White House,Lafayette Square,White House,White House,outside
176,Smith is confirmed as city's police chief,8 November 2023,late,late,Friday,violent crime,violent,violent,The D.C. Council on Tuesday unanimously,homicide,Columbia Heights neighborhood of Northwest,Columbia Heights neighborhood of Northwest,public,residential,outdoor
177,Developer pays fines over poisoned trees,20 February 2023,FINAL B01,morning,weekday,poisoning,poisoning,non-violent,"The developer, H2 Design Build, denies",The District fights to preserve its remaining green space,Southeast Washington,"On a lush, 55,000-square-",private,undeveloped plot of land,"On a lush, 55,000-square-"
178,Missing D.C. woman is found dead in Maryland,"April 9, Easter Sunday",evening,evening,Easter Sunday,homicide,homicide,homicide,Danielle Denise Moss was supposed to,homicide,"Waldorf, Md","Waldorf, Md",private,residential,outdoors
179,Teacher shot by 6-year-old no longer with school,Jan. 6,afternoon,afternoon,afternoon,shooting,shooting,violent,"Abigail Zwerner, 25, accused the",homicide,Richneck Elementary School,Newport News,public,residential,indoors
180,Loudoun School Board faces discrimination suit,15 June 2023,15 June 2023,morning,weekday,discrimination,discrimination,non-violent,"Denise Corbo filed the lawsuit,",robbery,Eastern District of Virginia,Loudoun County School Board,public,residential,indoors
181,Poll: Most in D.C. feel safe,2022,rush hour,rush hour,rush hour,violent crime,homicide,violent,As federal lawmakers rejected D.C.'s,robbery,Potomac Avenue Metro station,D.C.,neighborhood,neighborhoods,outdoors
182,Pretrial release for man charged in teen's killing,Jan. 7,night,night,night,murder,second-degree murder,violent,"Jason Lewis, 41, had been detained in",homicide,Northeast Washington neighborhood,Northeast Washington neighborhood,public,residential,outdoors
183,Alarm over empty shelves obscures the full picture,17 October 2023,a.,afternoon,weekday,shoplifters,shoplifters,non-violent,"Chia seeds, milled flax,",The Washington Post,Columbia Heights CVS,Columbia Heights CVS,private,commercial,Inside
184,Girl's death allegedly linked to gangs' feud,17 October 2023,after 9 p.m,evening,Mother's Day,murder,murder,violent,gangs' feud,homicide,the 3700 block of Hayes Street ,Hayes Street NE,private,residential,drive-by shooting
185,D.C. police: Carjackers made sale to officers,April 18,4:40 a.m,morning,weekend,carjacking,Carjackings,violent,Carjackings in D.C. have,Carjacking,Northeast Washington,Northeast Washington,private,Northeast Washington,outdoor
186,Woman charged with hitting 2 in DUI freed,Saturday,after 1 p.m.,afternoon,weekend,DUI,DUI,violent,A D.C. Superior Court judge ordered ,DUI,Southeast Washington,Fouth and Savannah streets in Southeast Washington,private,residential,outdoors
187,Family mourns man slain at Howard,Thursday,morning,morning,Thursday,robbery,robbery,violent,Rafael Adolfo Gomez was,homicide,Howard University,Sixth and W streets NW,campus,campus,outdoors
188,Paul aide attack suspect is sent to mental hospital,March 25,midday,midday,midday,assault with intent to kill,assault with intent to kill,violent,The D.C. man charged with stabbing,homicide,H Street corridor in Northeast Washington,H Street corridor in Northeast Washington,restaurant,commercial,indoors
189,Man tells of robbery attempt before shooting,Tuesday,Tuesday,night,Tuesday,first-degree murder,first-degree murder,violent,A man who was among five people shot spille,homicide,Valo apartments in Southwest Washington,Southwest Washington,private,residential,indoors
190,"High on crack, she plowed her car into 2007 Unifest","June 2, 2007",evening,evening,Saturday,aggravated assault while armed,"aggravated assault while armed, 10 counts",violent,With her 7-year-old daughter buckled,sex abuse,Southeast Washington,D.C.,public,Anacostia Park,outdoor
191,Local Digest,23 January 2023,10:40 p.m,night,Saturday,shooting,shooting,violent,Two people were found dead Saturday night after a,robbery,Southwest Washington,Center Drive,private,residential,indoors
192,Local Digest,23 April 2023,about 10 p.m.,night,Friday,shootings,shootings,Seven men were shot about 10 p.m,Seven men were shot about 10 p.m,robbery,Arlington Boulevard near Patrick Henry Drive,Arlington Boulevard near Patrick Henry Drive,residential,residential,outdoors
193,Proud Boys' defense wobbles in sedition trial,"Jan. 6, 2021",during,"Jan. 6, 2021",weekend,sedition,sedition,violent,Proud Boys members testify in a,Sedition,the U.S. Capitol,The U.S. Capitol,U.S. Capitol,D.C.,outside
194,One charged in gunfight outside SW restaurant,Monday,8:30 p.m,evening,Monday,Violent crime,robbery,violent,A shooting that injured three people Monday night outside ,robbery,Point D.C.,Point D.C.,private,commercial,outside
195,Local Digest,Friday,shortly before 10 a.m.,morning,Friday,assault,assault,assault,police identified a man shot and wounded by an,robbery,Southeast Washington,1300 block of Good Hope Road SE,private,residential,outdoor
196,Hiring of law firm an issue,"Aug. 11, 2023",FINAL B01 English,noon,weekday,sexual harassment,sexual harassment,sexual harassment,The law firm hired by Montgomery County Public Schools to,sex abuse,Farquhar Middle School,The law firm hired by Montgomery County Public Schools to,public,Montgomery,inside
197,City officials say they will enforce a youth curfew in certain areas,18 August 2023,overnight hours,night,weekend,"homicides, robberies and",homicides,violent,D.C. officials announced Thursday they will enforce,robbery,Howard University,Chinatown and Navy Yard; the area along the,public,residential,outdoors
198,"Parkland massacre parents lead protest of gun violence, NRA",2018,a.,morning,Thursday,gun violence,homicides,violent,The parents of a teenager killed in the Park,homicide,Marjory Stoneman Douglas High School,"Parkland, Fla.",public,"Parkland, Fla.,",outdoor
199,Man arrested in sex assaults days after release,Sunday,about 7:45 a.m.,morning,Sunday,sexual abuse,sexual abuse,violent,"Christopher Joseph Sharp was arrested again two days later,",sex abuse,Northwest Washington,the 2300 block of Nebraska Avenue NW,public,public,outdoors
200,Officer critically wounds armed man in Northwest,Thursday,Thursday afternoon,morning,Thursday,domestic,domestic situation,violent,A D.C. police officer shot and critically,robbery,Georgia Avenue NW,7400 block of Georgia Avenue NW,public,commercial,outdoors
201,"At community fair, residents share ideas about how to make city safer",2018,afternoon,afternoon,Saturday,violence,shot and killed by police,violent,Kenithia Alston had created the poster,homicide,D.C.,D.C.,public,residential,indoors
202,Local Digest,30 July 2023,morning,morning,weekend,fatal stabbing,fatal stabbing,violent,"Antoine Ealey, 43, was found",homicide,L'Enfant Square,"4200 block of Sixth Street SE, at",public,residential,outdoors
203,Video shows officer shooting man,Feb. 10,shortly before 10 a.m.,morning,Friday,assault,assault,violent,D.C. police released video Friday from the,robbery,Anacostia,"the 1300 block of Good Hope Road SE,",private,residential,outdoors
204,D.C. teen to be held until 21 over killing of man in wheelchair,"Jan. 18, 2022",during a drive-by,night,weekend,murder,second-degree murder,violent,A 16-year-old pleaded guilty,homicide,Northeast Washington,Northeast Washington,private,residential,outside
205,Local Digest,"Dec. 3, 2021",Sunday morning,morning,Sunday,murder,murder,violent,D.C. police have arrested a suspect,homicide,Clinton,Clinton,private,residential,inside
206,Seating D.C. jury proves hard in Proud Boys trial,"Jan. 6, 2021",the day,day,Jan. 6,seditious conspiracy,seditious conspiracy,violent,The trial of five members of the Proud,The trial of five members of the Proud,the U.S. Capitol,D.C.,public,D.C.,on city streets
207,"Mother in murder case can be released from jail, judge rules","May 10, 2022",Thursday,evening,weekday,murder,murder,murder,Cynthia Moore will be allowed to live with her mother,homicide,Montgomery Village,Montgomery Village,private,residential,inside
208,"Proud Boys member, Jan. 6 defendant missing","Jan. 6, 2021","Jan. 6, 2021",night,weekend,attack on the U.S. Capitol,attack on the U.S. Capitol,deadly,"Christopher Worrell, 52, of Naples, Fla",robbery,Capitol grounds,"Washington, D.C.",public,Capitol,outdoor
209,Officer's suicide declared death in the line of duty,Jan. 6,Thursday,night,Thursday,suicide,suicide,violent,The U.S. Department of Justice has designated,homicide,D.C.,D.C.,public,D.C.,outdoors
210,FBI mole testifies for Proud Boys,"Jan. 6, 2021",a.,night,"Jan. 6, 2021",terrorism,seditious conspiracy,violent,The man testified that he joined a,Proud Boys,the U.S. Capitol,The man testified that he joined a,U.S. Capitol,U.S. Capitol,outdoor
211,Lawmaker unites a city after 'inmate factories' insult,Wednesday,FINAL C01,evening,Wednesday,dropout factories,inmate factories,non-violent,Rep. Gary Palmer called D.C. schools,robbery,D.C.,D.C.,public,residential,indoors
212,Local Digest,2 April 2023,Just before 7 p.m.,night,weekday,carjacking,carjacking,violent,carjacking,robbery,"Prince George's County, Md","Prince George's County, Md.",private,residential,inside
213,16-year-old accused of killing man in Wheaton,May 18,just before 6 p.m.,evening,May 18,second-degree murder,second-degree murder,violent,A 16-year-old accused of gunn,homicide,Wheaton,Wheaton,Metro train station,Metro,on a Metro platform
214,15-year-old wanted in attempted shooting,May 1,4:55 p.m.,afternoon,day,attempted shooting,attempted shooting,violent,Authorities are searching for a 15-year-,homicide,Prince George's County,Prince George's County,school bus,residential,on the bus
215,"DMV knew of woman's DUIs, court official says",March15,late,evening,weekday,DUI,DUI,fatal,D.C. Superior Court official denies that,homicide,Rock Creek Parkway,Rock Creek Parkway,Rock Creek Parkway,Rock Creek Parkway,outdoors
216,Local Digest,21 February 2023,night,night,Friday,violent,violent,violent,man fatally shot aboard a Metro bus near,homicide,White Oak shopping mall,1200 block of H Street NE,public,commercial,aboard a Metro bus
217,"Police charge one man with murder, and another with killing a witness",Halloween night 2012,Halloween night,night,Halloween night,murder,murder,violent,"Police charged one man with murder, and another with",homicide,Northeast Washington's Eckington neighborhood,Northeast Washington's Eckington neighborhood,alley,alley,outdoor
218,Fixture of Eastern Market found dead,September 4,FINAL C05,evening,weekend,murder,murder,violent,A man was arrested in Pennsylvania and charged with first,homicide,Eastern Market,Pennsylvania,Eastern Market,Eastern Market,wooded area
219,Conflicting feelings in riot sentences,"Jan. 6, 2021",night,night,weekday,Engaging in seditious conspiracy to keep,Engaging in seditious conspiracy to keep,violent,The Proud Boys were a driving force,CORRECTION: A Sept. 10 Metro,the U.S. Capitol,D.C.,public,D.C.,outdoors
220,Local Digest,11 March 2023,7:45 p.m.,night,Saturday,shooting,shooting,violent,A 15-year-old boy who was shot,robbery,Woodland Terrace,Frederick County,private,residential,outside
221,Arrest made in April killing; casings allegedly tied to other shooting scenes,April 21,after midnight,night,weekday,killing,murder,violent,Darrell Hinkle of Southeast was charged with first,homicide,Fairlawn neighborhood of Southeast Washington,the 1500 block of 19th Street SE,private,residential,outside
222,4 men killed in 24 hours as homicides continue to climb,Monday,afternoon,afternoon,Monday,homicides,homicides,violent,Three men were fatally shot and another man was,homicide,the District,the 4100 block of East Capitol Street SE,alley,alley,alley
223,Police charge 2 suspects with murder in death of man reported missing,Aug. 4,on Aug. 4,night,weekday,murder,murder,violent,"Lewis Jones, of Southeast Washington, is accused of",homicide,a bedroom of a residence,Pomeroy Road SE,private,residential,indoors
224,"3 plead guilty in gun-trafficking case; U.S. says weapons found in Md., N.J.",2023,a.m.,evening,weekday,gun-trafficking,gun-trafficking,non-violent,Three men conspired for months to buy guns,robbery,Maryland and New Jersey,Maryland and New Jersey,private,commercial,indoors
225,Local Digest,5 May 2023,evening,evening,weekday,homicide,homicide,violent,A man and a woman were killed in two,homicide,the 400 block of Condon Terrace SE,the 400 block of Condon Terrace SE,private,residential,indoors
226,Man charged in girlfriend's death,March 7,6 p.m,night,weekday,murder,murder,violent,"Andrea Bond, a 30-year-old from",homicide,the living room of a home,Northeast Washington,private,residential,indoors
227,Group against animal testing sues Metro for rejecting its ads,29 June 2023,Tuesday,evening,Tuesday,testing on animals,violation of the First and Fifth amendments,non-violent,A group that opposes testing on animals sued,A group that opposes testing on animals sued,Washington,"Haymarket, Va.",public,commercial,inside
228,"Another youth is shot dead in city, fourth in 10 days",Tuesday,10:30 p.m,night,Tuesday,Violent crime,homicide,violent,Jaylin Osborne was killed outside an,homicide,Stanton Road,Stanton Road,private,residential,outside
229,12 suspected members of street crew arrested,29 June 2023,afternoon,afternoon,Tuesday,drug and gun,drug and gun,violent,Authorities have arrested a dozen suspected members of ,homicide,Kennedy Street,Kennedy Street,public,residential,outside
230,Parkland victim's father arrested at guns hearing,Thursday,around noon,afternoon,Thursday,disrupting a congressional hearing,"crowding, obstructing or in",non-violent,"Manuel Oliver, the father of Parkland,",homicide,D.C.,D.C.,public,D.C.,indoors
231,U.S. attorney in D.C. ups prosecutions,20 October 2023,Thursday,night,weekday,Violent crime,Violent crime,violent,The U.S. attorney's office in,robbery,D.C.,D.C.,public,residential,indoors
232,"Md. police officer, hired a year after Jan. 6, now accused of taking part in it","Jan. 6, 2021",Thursday,evening,Thursday,civil disorder,civil disorder,violent,A Montgomery County police officer was arrested Thursday and accused,homicide,D.C.,"Rockville, Md.",public,commercial,indoors
233,Ex-officer admits covering up crash,"June 20, 2020",11:30 p.m,night,night,civil rights,deprivation of rights under color of law,non-violent,"Thomas Smith, 46, faces a statutory",homicide,Northwest Washington,Northwest Washington,Capitol grounds,Georgetown,outside
234,Shooting of teen fuels online sleuthing,Jan. 7,predawn,predawn,predawn,Shooting,fatally shot,violent,"The DC Safety Squad, the coalition researching to find",homicide,Northeast Washington,Quincy Street in Northeast Washington,private,residential,outdoors
235,Teen charged in shooting of Commanders player Robinson pleads guilty,"Aug. 28,",just before 6 p.m,evening,Friday,assault with a dangerous weapon,assault with a dangerous weapon,violent,The 17-year-old charged with shooting and,robbery,H Street in Northeast Washington,H Street in Northeast Washington,private,Northeast Washington,outdoors
236,Local Digest,March 25,daylight,daylight,daylight,assault with intent to kill,assault with intent to kill,violent,Psychologist Teresa Grant wrote that she found Ne,homicide,Northeast Washington,H Street corridor in Northeast Washington,restaurant,commercial,outdoor
237,"Man fatally shot after funeral was helping carry things to hearse, uncle says",Tuesday,noon,afternoon,Tuesday,killings,killings,violent,The man who was fatally shot after a,homicide,Northeast Washington,Northeast Washington,funeral,residential,outdoors
238,Local Digest,14 April 2023,about 11 a.m.,morning,Thursday,carjacker,carjacker,violent,A man who police said carjacked a,robbery,Northeast Washington,Kenilworth Avenue NE,a gas station,a gas station,inside
239,16-year-old suspected in a string of robberies is charged as an adult,Aug. 24,Wednesday,night,Wednesday,armed carjackings and robbe,"armed robbery, armed car",violent,A 16-year-old who was arrested in,robbery,Northeast and Southeast Washington,Northeast and Southeast Washington,private,Northeast and Southeast Washington,outdoors
240,"Man charged with murder, though police don't think he fired the fatal shot",Aug. 6,a.m.,evening,weekend,murder,murder,violent,Franklin Dorn told police he pulled out ,homicide,Northwest Washington apartment building,Northwest Washington apartment building,private,residential,outside
241,Funeral company owner is charged with murder,8 June 2023,afternoon,afternoon,Tuesday,homicide,homicide,violent,"Wilson Chavis, 48, of Hughesville,",homicide,Washington National Cemetery,Washington National Cemetery,public,cemetery,outdoors
242,District records over 100 killings,June 2023,about 6:35 p.m.,night,Tuesday,homicide,homicide,violent,Three fatal shootings Tuesday night and early Wednesday in,homicide,Washington Highlands,4700 block of South Capitol Street SE,gas station,residential,outside
243,Local Digest,21 July 2023,around 11:15 p.m.,night,Thursday,murder,murder,violent,"A man has been indicted, D.",homicide,the 700 block of O Street NW,Northwest Washington's Shaw neighborhood,public,Shaw neighborhood,outdoors
244,"D.C. mother says U.S. marshals needlessly shot, killed her son",Tuesday,afternoon,afternoon,Tuesday afternoon,a parole violation,parole violation,violent,Alaunte Scott had graduated from ,homicide,Washington Highlands neighborhood,Washington Highlands neighborhood,private,residential,outdoors
245,Local Digest,Wednesday,9:30 p.m,night,Wednesday,killing,murder,violent,a 28-year-old man who fled,homicide,Northwest Washington,1400 block of V Street NW,private,a busy intersection lined with restaurants and apartment buildings,outdoors
246,Judge dismisses part of high-profile tax lawsuit against former tech CEO,3 March 2023,nightly,night,nightly,tax,tax evasion,non-violent,A judge has dismissed part of a major lawsuit,robbery,D.C.,D.C.,public,residential,indoors
